SITE;MUNICIPALITY;STATE;LAT_Y_POINT;LONG_X_POINT;LAND_USE_surrounding_100m;COL_END_YR;ORDER;FAMILY;GENUS;SPECIES;OCCUR;NUMBER_OF_RECORDS
UPA7UT55;Paragominas;PA;-3.66351;-48.56396;Reduced-impact logging;2013;Gymnotiformes;Hypopomidae;Brachypopomus;Brachyhypopomus sp.2;1;1
UPA6UT13;Paragominas;PA;-3.53329;-48.81104;Reduced-impact logging;2013;Gymnotiformes;Hypopomidae;Brachypopomus;Brachyhypopomus sp.3;1;1
UPA6UT16;Paragominas;PA;-3.53072;-48.78286;Reduced-impact logging;2013;Gymnotiformes;Hypopomidae;Brachypopomus;Brachyhypopomus sp.3;1;3
UPA13UT27-2;Paragominas;PA;-3.72305;-48.69458;Reduced-impact logging;2013;Siluriformes;Callichthyidae;Callichthys;Callichthys callichthys;1;1
UPA13UT31;Paragominas;PA;-3.70842;-48.71799;Reduced-impact logging;2013;Characiformes;Gasteropelecidae;Carnegiella ;Carnegiella strigata;1;7
UPA11UT37;Paragominas;PA;-3.59552;-48.54519;Reduced-impact logging;2013;Characiformes;Crenuchidae;Characidium;Characidium cf. etheostoma;1;8
UPA12UT29;Paragominas;PA;-3.70351;-48.67416;Reduced-impact logging;2013;Characiformes;Crenuchidae;Characidium;Characidium cf. etheostoma;1;1
UPA13UT31;Paragominas;PA;-3.70842;-48.71799;Reduced-impact logging;2013;Characiformes;Crenuchidae;Characidium;Characidium cf. etheostoma;1;1
UPA6UT13;Paragominas;PA;-3.53329;-48.81104;Reduced-impact logging;2013;Characiformes;Crenuchidae;Characidium;Characidium cf. etheostoma;1;4
UPA6UT16;Paragominas;PA;-3.53072;-48.78286;Reduced-impact logging;2013;Characiformes;Crenuchidae;Characidium;Characidium cf. etheostoma;1;30
UPA6UT80;Paragominas;PA;-3.65393;-48.61003;Reduced-impact logging;2013;Characiformes;Crenuchidae;Characidium;Characidium cf. etheostoma;1;2
UPA7UT55;Paragominas;PA;-3.66351;-48.56396;Reduced-impact logging;2013;Characiformes;Crenuchidae;Characidium;Characidium cf. etheostoma;1;3
UPA13UT31;Paragominas;PA;-3.70842;-48.71799;Reduced-impact logging;2013;Characiformes;Crenuchidae;Characidium;Characidium zebra;1;1
UPA16REF3;Paragominas;PA;-3.55106;-48.7534;Reduced-impact logging;2013;Characiformes;Lebiasinidae;Copella;Copella arnoldi;1;22
UPA5UT20;Paragominas;PA;-3.54574;-48.49817;Reduced-impact logging;2013;Characiformes;Lebiasinidae;Copella;Copella arnoldi;1;22
UPA6UT13;Paragominas;PA;-3.53329;-48.81104;Reduced-impact logging;2013;Characiformes;Lebiasinidae;Copella;Copella arnoldi;1;56
UPA6UT16;Paragominas;PA;-3.53072;-48.78286;Reduced-impact logging;2013;Characiformes;Lebiasinidae;Copella;Copella arnoldi;1;9
UPA13UT31;Paragominas;PA;-3.70842;-48.71799;Reduced-impact logging;2013;Siluriformes;Callichthyidae;Callichthys;Corydoras melanistius;1;3
UPA16REF3;Paragominas;PA;-3.55106;-48.7534;Reduced-impact logging;2013;Cichliformes;Cichlidae;Crenicichla;Crenicichla gr. saxatilis;1;1
UPA11UT26;Paragominas;PA;-3.66999;-48.51567;Reduced-impact logging;2013;Cichliformes;Cichlidae;Crenicichla;Crenicichla gr. saxatilis;1;5
UPA11UT37;Paragominas;PA;-3.59552;-48.54519;Reduced-impact logging;2013;Cichliformes;Cichlidae;Crenicichla;Crenicichla gr. saxatilis;1;6
UPA12UT29;Paragominas;PA;-3.70351;-48.67416;Reduced-impact logging;2013;Cichliformes;Cichlidae;Crenicichla;Crenicichla gr. saxatilis;1;18
UPA13UT27-2;Paragominas;PA;-3.72305;-48.69458;Reduced-impact logging;2013;Cichliformes;Cichlidae;Crenicichla;Crenicichla gr. saxatilis;1;11
UPA13UT31;Paragominas;PA;-3.70842;-48.71799;Reduced-impact logging;2013;Cichliformes;Cichlidae;Crenicichla;Crenicichla gr. saxatilis;1;3
UPA5UT20;Paragominas;PA;-3.54574;-48.49817;Reduced-impact logging;2013;Cichliformes;Cichlidae;Crenicichla;Crenicichla gr. saxatilis;1;1
UPA6UT13;Paragominas;PA;-3.53329;-48.81104;Reduced-impact logging;2013;Cichliformes;Cichlidae;Crenicichla;Crenicichla gr. saxatilis;1;1
UPA6UT80;Paragominas;PA;-3.65393;-48.61003;Reduced-impact logging;2013;Cichliformes;Cichlidae;Crenicichla;Crenicichla gr. saxatilis;1;29
UPA7UT55;Paragominas;PA;-3.66351;-48.56396;Reduced-impact logging;2013;Cichliformes;Cichlidae;Crenicichla;Crenicichla gr. saxatilis;1;10
UPA9UT5;Paragominas;PA;-3.74078;-48.60257;Reduced-impact logging;2013;Cichliformes;Cichlidae;Crenicichla;Crenicichla gr. saxatilis;1;4
UPA16REF3;Paragominas;PA;-3.55106;-48.7534;Reduced-impact logging;2013;Characiformes;Crenuchidae;Crenuchus;Crenuchus?spilurus?;1;1
UPA13UT27-1;Paragominas;PA;-3.71856;-48.70264;Reduced-impact logging;2013;Characiformes;Crenuchidae;Crenuchus;Crenuchus?spilurus?;1;19
UPA13UT27-2;Paragominas;PA;-3.72305;-48.69458;Reduced-impact logging;2013;Characiformes;Crenuchidae;Crenuchus;Crenuchus?spilurus?;1;1
UPA6UT13;Paragominas;PA;-3.53329;-48.81104;Reduced-impact logging;2013;Characiformes;Crenuchidae;Crenuchus;Crenuchus?spilurus?;1;4
UPA11UT37;Paragominas;PA;-3.59552;-48.54519;Reduced-impact logging;2013;Siluriformes;Cetopsidae;Denticetopsis;Denticetopsis epa;1;2
UPA12UT29;Paragominas;PA;-3.70351;-48.67416;Reduced-impact logging;2013;Siluriformes;Cetopsidae;Denticetopsis;Denticetopsis epa;1;1
UPA13UT31;Paragominas;PA;-3.70842;-48.71799;Reduced-impact logging;2013;Siluriformes;Cetopsidae;Denticetopsis;Denticetopsis epa;1;2
UPA7UT55;Paragominas;PA;-3.66351;-48.56396;Reduced-impact logging;2013;Siluriformes;Cetopsidae;Denticetopsis;Denticetopsis epa;1;1
UPA9UT5;Paragominas;PA;-3.74078;-48.60257;Reduced-impact logging;2013;Siluriformes;Cetopsidae;Denticetopsis;Denticetopsis epa;1;1
UPA16REF3;Paragominas;PA;-3.55106;-48.7534;Reduced-impact logging;2013;Characiformes;Erythrinidae;Erythrinus;Erythrinus?erythrinus;1;1
UPA11UT26;Paragominas;PA;-3.66999;-48.51567;Reduced-impact logging;2013;Characiformes;Erythrinidae;Erythrinus;Erythrinus?erythrinus;1;5
UPA12UT29;Paragominas;PA;-3.70351;-48.67416;Reduced-impact logging;2013;Characiformes;Erythrinidae;Erythrinus;Erythrinus?erythrinus;1;4
UPA13UT27-1;Paragominas;PA;-3.71856;-48.70264;Reduced-impact logging;2013;Characiformes;Erythrinidae;Erythrinus;Erythrinus?erythrinus;1;10
UPA13UT27-2;Paragominas;PA;-3.72305;-48.69458;Reduced-impact logging;2013;Characiformes;Erythrinidae;Erythrinus;Erythrinus?erythrinus;1;7
UPA13UT31;Paragominas;PA;-3.70842;-48.71799;Reduced-impact logging;2013;Characiformes;Erythrinidae;Erythrinus;Erythrinus?erythrinus;1;8
UPA5UT20;Paragominas;PA;-3.54574;-48.49817;Reduced-impact logging;2013;Characiformes;Erythrinidae;Erythrinus;Erythrinus?erythrinus;1;20
UPA6UT16;Paragominas;PA;-3.53072;-48.78286;Reduced-impact logging;2013;Characiformes;Erythrinidae;Erythrinus;Erythrinus?erythrinus;1;1
UPA6UT80;Paragominas;PA;-3.65393;-48.61003;Reduced-impact logging;2013;Characiformes;Erythrinidae;Erythrinus;Erythrinus?erythrinus;1;8
UPA6UT81;Paragominas;PA;-3.66524;-48.59988;Reduced-impact logging;2013;Characiformes;Erythrinidae;Erythrinus;Erythrinus?erythrinus;1;15
UPA7UT30;Paragominas;PA;-3.70937;-48.56151;Reduced-impact logging;2013;Characiformes;Erythrinidae;Erythrinus;Erythrinus?erythrinus;1;46
UPA7UT30-2;Paragominas;PA;-3.70929;-48.56111;Reduced-impact logging;2013;Characiformes;Erythrinidae;Erythrinus;Erythrinus?erythrinus;1;17
UPA7UT55;Paragominas;PA;-3.66351;-48.56396;Reduced-impact logging;2013;Characiformes;Erythrinidae;Erythrinus;Erythrinus?erythrinus;1;5
UPA9UT5;Paragominas;PA;-3.74078;-48.60257;Reduced-impact logging;2013;Characiformes;Erythrinidae;Erythrinus;Erythrinus?erythrinus;1;6
UPA12UT29;Paragominas;PA;-3.70351;-48.67416;Reduced-impact logging;2013;Siluriformes;Loricariidae;Farlowella;Farlowella amazonum;1;2
UPA13UT31;Paragominas;PA;-3.70842;-48.71799;Reduced-impact logging;2013;Siluriformes;Loricariidae;Farlowella;Farlowella amazonum;1;3
UPA7UT55;Paragominas;PA;-3.66351;-48.56396;Reduced-impact logging;2013;Siluriformes;Loricariidae;Farlowella;Farlowella amazonum;1;3
UPA9UT5;Paragominas;PA;-3.74078;-48.60257;Reduced-impact logging;2013;Siluriformes;Loricariidae;Farlowella;Farlowella amazonum;1;1
UPA16REF3;Paragominas;PA;-3.55106;-48.7534;Reduced-impact logging;2013;Gymnotiformes; Rhamphichthyidae;Gymnorhamphichthys;Gymnorhamphichthys petiti;1;8
UPA11UT26;Paragominas;PA;-3.66999;-48.51567;Reduced-impact logging;2013;Gymnotiformes; Rhamphichthyidae;Gymnorhamphichthys;Gymnorhamphichthys petiti;1;14
UPA11UT37;Paragominas;PA;-3.59552;-48.54519;Reduced-impact logging;2013;Gymnotiformes; Rhamphichthyidae;Gymnorhamphichthys;Gymnorhamphichthys petiti;1;39
UPA12UT29;Paragominas;PA;-3.70351;-48.67416;Reduced-impact logging;2013;Gymnotiformes; Rhamphichthyidae;Gymnorhamphichthys;Gymnorhamphichthys petiti;1;44
UPA13UT27-2;Paragominas;PA;-3.72305;-48.69458;Reduced-impact logging;2013;Gymnotiformes; Rhamphichthyidae;Gymnorhamphichthys;Gymnorhamphichthys petiti;1;31
UPA13UT31;Paragominas;PA;-3.70842;-48.71799;Reduced-impact logging;2013;Gymnotiformes; Rhamphichthyidae;Gymnorhamphichthys;Gymnorhamphichthys petiti;1;6
UPA5UT20;Paragominas;PA;-3.54574;-48.49817;Reduced-impact logging;2013;Gymnotiformes; Rhamphichthyidae;Gymnorhamphichthys;Gymnorhamphichthys petiti;1;5
UPA6UT13;Paragominas;PA;-3.53329;-48.81104;Reduced-impact logging;2013;Gymnotiformes; Rhamphichthyidae;Gymnorhamphichthys;Gymnorhamphichthys petiti;1;12
UPA6UT80;Paragominas;PA;-3.65393;-48.61003;Reduced-impact logging;2013;Gymnotiformes; Rhamphichthyidae;Gymnorhamphichthys;Gymnorhamphichthys petiti;1;21
UPA7UT55;Paragominas;PA;-3.66351;-48.56396;Reduced-impact logging;2013;Gymnotiformes; Rhamphichthyidae;Gymnorhamphichthys;Gymnorhamphichthys petiti;1;4
UPA9UT5;Paragominas;PA;-3.74078;-48.60257;Reduced-impact logging;2013;Gymnotiformes; Rhamphichthyidae;Gymnorhamphichthys;Gymnorhamphichthys petiti;1;12
UPA7UT30;Paragominas;PA;-3.70937;-48.56151;Reduced-impact logging;2013;Gymnotiformes;Gymnotidae;Gymnotus;Gymnotus gr. carapo;1;1
UPA16REF3;Paragominas;PA;-3.55106;-48.7534;Reduced-impact logging;2013;Gymnotiformes;Gymnotidae;Gymnotus;Gymnotus gr. coropinae;1;5
UPA11UT26;Paragominas;PA;-3.66999;-48.51567;Reduced-impact logging;2013;Gymnotiformes;Gymnotidae;Gymnotus;Gymnotus gr. coropinae;1;3
UPA11UT37;Paragominas;PA;-3.59552;-48.54519;Reduced-impact logging;2013;Gymnotiformes;Gymnotidae;Gymnotus;Gymnotus gr. coropinae;1;6
UPA12UT29;Paragominas;PA;-3.70351;-48.67416;Reduced-impact logging;2013;Gymnotiformes;Gymnotidae;Gymnotus;Gymnotus gr. coropinae;1;5
UPA13UT27-1;Paragominas;PA;-3.71856;-48.70264;Reduced-impact logging;2013;Gymnotiformes;Gymnotidae;Gymnotus;Gymnotus gr. coropinae;1;15
UPA13UT27-2;Paragominas;PA;-3.72305;-48.69458;Reduced-impact logging;2013;Gymnotiformes;Gymnotidae;Gymnotus;Gymnotus gr. coropinae;1;13
UPA13UT31;Paragominas;PA;-3.70842;-48.71799;Reduced-impact logging;2013;Gymnotiformes;Gymnotidae;Gymnotus;Gymnotus gr. coropinae;1;8
UPA5UT20;Paragominas;PA;-3.54574;-48.49817;Reduced-impact logging;2013;Gymnotiformes;Gymnotidae;Gymnotus;Gymnotus gr. coropinae;1;3
UPA6UT16;Paragominas;PA;-3.53072;-48.78286;Reduced-impact logging;2013;Gymnotiformes;Gymnotidae;Gymnotus;Gymnotus gr. coropinae;1;2
UPA6UT80;Paragominas;PA;-3.65393;-48.61003;Reduced-impact logging;2013;Gymnotiformes;Gymnotidae;Gymnotus;Gymnotus gr. coropinae;1;6
UPA6UT81;Paragominas;PA;-3.66524;-48.59988;Reduced-impact logging;2013;Gymnotiformes;Gymnotidae;Gymnotus;Gymnotus gr. coropinae;1;4
UPA7UT30;Paragominas;PA;-3.70937;-48.56151;Reduced-impact logging;2013;Gymnotiformes;Gymnotidae;Gymnotus;Gymnotus gr. coropinae;1;1
UPA7UT55;Paragominas;PA;-3.66351;-48.56396;Reduced-impact logging;2013;Gymnotiformes;Gymnotidae;Gymnotus;Gymnotus gr. coropinae;1;4
UPA9UT5;Paragominas;PA;-3.74078;-48.60257;Reduced-impact logging;2013;Gymnotiformes;Gymnotidae;Gymnotus;Gymnotus gr. coropinae;1;2
UPA16REF3;Paragominas;PA;-3.55106;-48.7534;Reduced-impact logging;2013;Gymnotiformes;Gymnotidae;Gymnotus;Gymnotus gr. pantherinus;1;4
UPA11UT26;Paragominas;PA;-3.66999;-48.51567;Reduced-impact logging;2013;Gymnotiformes;Gymnotidae;Gymnotus;Gymnotus gr. pantherinus;1;5
UPA11UT37;Paragominas;PA;-3.59552;-48.54519;Reduced-impact logging;2013;Gymnotiformes;Gymnotidae;Gymnotus;Gymnotus gr. pantherinus;1;2
UPA12UT29;Paragominas;PA;-3.70351;-48.67416;Reduced-impact logging;2013;Gymnotiformes;Gymnotidae;Gymnotus;Gymnotus gr. pantherinus;1;5
UPA13UT27-1;Paragominas;PA;-3.71856;-48.70264;Reduced-impact logging;2013;Gymnotiformes;Gymnotidae;Gymnotus;Gymnotus gr. pantherinus;1;2
UPA13UT27-2;Paragominas;PA;-3.72305;-48.69458;Reduced-impact logging;2013;Gymnotiformes;Gymnotidae;Gymnotus;Gymnotus gr. pantherinus;1;1
UPA13UT31;Paragominas;PA;-3.70842;-48.71799;Reduced-impact logging;2013;Gymnotiformes;Gymnotidae;Gymnotus;Gymnotus gr. pantherinus;1;14
UPA5UT20;Paragominas;PA;-3.54574;-48.49817;Reduced-impact logging;2013;Gymnotiformes;Gymnotidae;Gymnotus;Gymnotus gr. pantherinus;1;1
UPA6UT13;Paragominas;PA;-3.53329;-48.81104;Reduced-impact logging;2013;Gymnotiformes;Gymnotidae;Gymnotus;Gymnotus gr. pantherinus;1;4
UPA6UT80;Paragominas;PA;-3.65393;-48.61003;Reduced-impact logging;2013;Gymnotiformes;Gymnotidae;Gymnotus;Gymnotus gr. pantherinus;1;1
UPA6UT81;Paragominas;PA;-3.66524;-48.59988;Reduced-impact logging;2013;Gymnotiformes;Gymnotidae;Gymnotus;Gymnotus gr. pantherinus;1;1
UPA7UT55;Paragominas;PA;-3.66351;-48.56396;Reduced-impact logging;2013;Gymnotiformes;Gymnotidae;Gymnotus;Gymnotus gr. pantherinus;1;4
UPA9UT5;Paragominas;PA;-3.74078;-48.60257;Reduced-impact logging;2013;Gymnotiformes;Gymnotidae;Gymnotus;Gymnotus gr. pantherinus;1;4
UPA16REF3;Paragominas;PA;-3.55106;-48.7534;Reduced-impact logging;2013;Siluriformes;Cetopsidae;Helogenes;Helogenes marmoratus;1;3
UPA11UT26;Paragominas;PA;-3.66999;-48.51567;Reduced-impact logging;2013;Siluriformes;Cetopsidae;Helogenes;Helogenes marmoratus;1;5
UPA11UT37;Paragominas;PA;-3.59552;-48.54519;Reduced-impact logging;2013;Siluriformes;Cetopsidae;Helogenes;Helogenes marmoratus;1;12
UPA12UT29;Paragominas;PA;-3.70351;-48.67416;Reduced-impact logging;2013;Siluriformes;Cetopsidae;Helogenes;Helogenes marmoratus;1;15
UPA13UT27-1;Paragominas;PA;-3.71856;-48.70264;Reduced-impact logging;2013;Siluriformes;Cetopsidae;Helogenes;Helogenes marmoratus;1;24
UPA13UT27-2;Paragominas;PA;-3.72305;-48.69458;Reduced-impact logging;2013;Siluriformes;Cetopsidae;Helogenes;Helogenes marmoratus;1;7
UPA13UT31;Paragominas;PA;-3.70842;-48.71799;Reduced-impact logging;2013;Siluriformes;Cetopsidae;Helogenes;Helogenes marmoratus;1;1
UPA5UT20;Paragominas;PA;-3.54574;-48.49817;Reduced-impact logging;2013;Siluriformes;Cetopsidae;Helogenes;Helogenes marmoratus;1;4
UPA6UT13;Paragominas;PA;-3.53329;-48.81104;Reduced-impact logging;2013;Siluriformes;Cetopsidae;Helogenes;Helogenes marmoratus;1;2
UPA6UT16;Paragominas;PA;-3.53072;-48.78286;Reduced-impact logging;2013;Siluriformes;Cetopsidae;Helogenes;Helogenes marmoratus;1;7
UPA6UT80;Paragominas;PA;-3.65393;-48.61003;Reduced-impact logging;2013;Siluriformes;Cetopsidae;Helogenes;Helogenes marmoratus;1;19
UPA6UT81;Paragominas;PA;-3.66524;-48.59988;Reduced-impact logging;2013;Siluriformes;Cetopsidae;Helogenes;Helogenes marmoratus;1;16
UPA7UT30;Paragominas;PA;-3.70937;-48.56151;Reduced-impact logging;2013;Siluriformes;Cetopsidae;Helogenes;Helogenes marmoratus;1;10
UPA7UT30-2;Paragominas;PA;-3.70929;-48.56111;Reduced-impact logging;2013;Siluriformes;Cetopsidae;Helogenes;Helogenes marmoratus;1;10
UPA7UT55;Paragominas;PA;-3.66351;-48.56396;Reduced-impact logging;2013;Siluriformes;Cetopsidae;Helogenes;Helogenes marmoratus;1;7
UPA9UT5;Paragominas;PA;-3.74078;-48.60257;Reduced-impact logging;2013;Siluriformes;Cetopsidae;Helogenes;Helogenes marmoratus;1;5
UPA11UT26;Paragominas;PA;-3.66999;-48.51567;Reduced-impact logging;2013;Characiformes;Characidae;Hemigrammus;Hemigrammus bellottii ;1;35
UPA11UT37;Paragominas;PA;-3.59552;-48.54519;Reduced-impact logging;2013;Characiformes;Characidae;Hemigrammus;Hemigrammus bellottii ;1;1
UPA12UT29;Paragominas;PA;-3.70351;-48.67416;Reduced-impact logging;2013;Characiformes;Characidae;Hemigrammus;Hemigrammus bellottii ;1;3
UPA13UT31;Paragominas;PA;-3.70842;-48.71799;Reduced-impact logging;2013;Characiformes;Characidae;Hemigrammus;Hemigrammus bellottii ;1;13
UPA6UT13;Paragominas;PA;-3.53329;-48.81104;Reduced-impact logging;2013;Characiformes;Characidae;Hemigrammus;Hemigrammus bellottii ;1;60
UPA6UT16;Paragominas;PA;-3.53072;-48.78286;Reduced-impact logging;2013;Characiformes;Characidae;Hemigrammus;Hemigrammus bellottii ;1;11
UPA7UT55;Paragominas;PA;-3.66351;-48.56396;Reduced-impact logging;2013;Characiformes;Characidae;Hemigrammus;Hemigrammus bellottii ;1;4
UPA16REF3;Paragominas;PA;-3.55106;-48.7534;Reduced-impact logging;2013;Characiformes;Characidae;Hemigrammus;Hemigrammus ocellifer;1;1
UPA6UT13;Paragominas;PA;-3.53329;-48.81104;Reduced-impact logging;2013;Characiformes;Characidae;Hemigrammus;Hemigrammus ocellifer;1;7
UPA7UT55;Paragominas;PA;-3.66351;-48.56396;Reduced-impact logging;2013;Characiformes;Characidae;Hemigrammus;Hemigrammus ocellifer;1;1
UPA11UT26;Paragominas;PA;-3.66999;-48.51567;Reduced-impact logging;2013;Characiformes;Erythrinidae;Hoplias;Hoplias malabaricus;1;1
UPA13UT27-1;Paragominas;PA;-3.71856;-48.70264;Reduced-impact logging;2013;Characiformes;Erythrinidae;Hoplias;Hoplias malabaricus;1;2
UPA13UT31;Paragominas;PA;-3.70842;-48.71799;Reduced-impact logging;2013;Characiformes;Erythrinidae;Hoplias;Hoplias malabaricus;1;6
UPA6UT81;Paragominas;PA;-3.66524;-48.59988;Reduced-impact logging;2013;Characiformes;Erythrinidae;Hoplias;Hoplias malabaricus;1;2
UPA7UT30-2;Paragominas;PA;-3.70929;-48.56111;Reduced-impact logging;2013;Characiformes;Erythrinidae;Hoplias;Hoplias malabaricus;1;4
UPA7UT55;Paragominas;PA;-3.66351;-48.56396;Reduced-impact logging;2013;Characiformes;Erythrinidae;Hoplias;Hoplias malabaricus;1;3
UPA9UT5;Paragominas;PA;-3.74078;-48.60257;Reduced-impact logging;2013;Characiformes;Erythrinidae;Hoplias;Hoplias malabaricus;1;4
UPA16REF3;Paragominas;PA;-3.55106;-48.7534;Reduced-impact logging;2013;Characiformes;Characidae;Hyphessobrycon;Hyphessobrycon heterorhabdus;1;247
UPA11UT26;Paragominas;PA;-3.66999;-48.51567;Reduced-impact logging;2013;Characiformes;Characidae;Hyphessobrycon;Hyphessobrycon heterorhabdus;1;15
UPA11UT37;Paragominas;PA;-3.59552;-48.54519;Reduced-impact logging;2013;Characiformes;Characidae;Hyphessobrycon;Hyphessobrycon heterorhabdus;1;31
UPA12UT29;Paragominas;PA;-3.70351;-48.67416;Reduced-impact logging;2013;Characiformes;Characidae;Hyphessobrycon;Hyphessobrycon heterorhabdus;1;34
UPA13UT27-1;Paragominas;PA;-3.71856;-48.70264;Reduced-impact logging;2013;Characiformes;Characidae;Hyphessobrycon;Hyphessobrycon heterorhabdus;1;616
UPA13UT27-2;Paragominas;PA;-3.72305;-48.69458;Reduced-impact logging;2013;Characiformes;Characidae;Hyphessobrycon;Hyphessobrycon heterorhabdus;1;110
UPA13UT31;Paragominas;PA;-3.70842;-48.71799;Reduced-impact logging;2013;Characiformes;Characidae;Hyphessobrycon;Hyphessobrycon heterorhabdus;1;1
UPA5UT20;Paragominas;PA;-3.54574;-48.49817;Reduced-impact logging;2013;Characiformes;Characidae;Hyphessobrycon;Hyphessobrycon heterorhabdus;1;104
UPA6UT13;Paragominas;PA;-3.53329;-48.81104;Reduced-impact logging;2013;Characiformes;Characidae;Hyphessobrycon;Hyphessobrycon heterorhabdus;1;324
UPA6UT16;Paragominas;PA;-3.53072;-48.78286;Reduced-impact logging;2013;Characiformes;Characidae;Hyphessobrycon;Hyphessobrycon heterorhabdus;1;91
UPA6UT80;Paragominas;PA;-3.65393;-48.61003;Reduced-impact logging;2013;Characiformes;Characidae;Hyphessobrycon;Hyphessobrycon heterorhabdus;1;94
UPA6UT81;Paragominas;PA;-3.66524;-48.59988;Reduced-impact logging;2013;Characiformes;Characidae;Hyphessobrycon;Hyphessobrycon heterorhabdus;1;63
UPA7UT30;Paragominas;PA;-3.70937;-48.56151;Reduced-impact logging;2013;Characiformes;Characidae;Hyphessobrycon;Hyphessobrycon heterorhabdus;1;555
UPA7UT30-2;Paragominas;PA;-3.70929;-48.56111;Reduced-impact logging;2013;Characiformes;Characidae;Hyphessobrycon;Hyphessobrycon heterorhabdus;1;462
UPA7UT55;Paragominas;PA;-3.66351;-48.56396;Reduced-impact logging;2013;Characiformes;Characidae;Hyphessobrycon;Hyphessobrycon heterorhabdus;1;4
UPA9UT5;Paragominas;PA;-3.74078;-48.60257;Reduced-impact logging;2013;Characiformes;Characidae;Hyphessobrycon;Hyphessobrycon heterorhabdus;1;7
UPA16REF3;Paragominas;PA;-3.55106;-48.7534;Reduced-impact logging;2013;Gymnotiformes; Hypopomidae;Hypopygus;Hypopygus lepturus;1;3
UPA12UT29;Paragominas;PA;-3.70351;-48.67416;Reduced-impact logging;2013;Gymnotiformes; Hypopomidae;Hypopygus;Hypopygus lepturus;1;2
UPA13UT31;Paragominas;PA;-3.70842;-48.71799;Reduced-impact logging;2013;Gymnotiformes; Hypopomidae;Hypopygus;Hypopygus lepturus;1;2
UPA6UT13;Paragominas;PA;-3.53329;-48.81104;Reduced-impact logging;2013;Gymnotiformes; Hypopomidae;Hypopygus;Hypopygus lepturus;1;8
UPA16REF3;Paragominas;PA;-3.55106;-48.7534;Reduced-impact logging;2013;Characiformes;Iguanodectidae;Iguanodectes;Iguanodectes rachovii;1;35
UPA11UT26;Paragominas;PA;-3.66999;-48.51567;Reduced-impact logging;2013;Characiformes;Iguanodectidae;Iguanodectes;Iguanodectes rachovii;1;107
UPA11UT37;Paragominas;PA;-3.59552;-48.54519;Reduced-impact logging;2013;Characiformes;Iguanodectidae;Iguanodectes;Iguanodectes rachovii;1;110
UPA12UT29;Paragominas;PA;-3.70351;-48.67416;Reduced-impact logging;2013;Characiformes;Iguanodectidae;Iguanodectes;Iguanodectes rachovii;1;54
UPA13UT27-2;Paragominas;PA;-3.72305;-48.69458;Reduced-impact logging;2013;Characiformes;Iguanodectidae;Iguanodectes;Iguanodectes rachovii;1;45
UPA13UT31;Paragominas;PA;-3.70842;-48.71799;Reduced-impact logging;2013;Characiformes;Iguanodectidae;Iguanodectes;Iguanodectes rachovii;1;10
UPA5UT20;Paragominas;PA;-3.54574;-48.49817;Reduced-impact logging;2013;Characiformes;Iguanodectidae;Iguanodectes;Iguanodectes rachovii;1;33
UPA6UT13;Paragominas;PA;-3.53329;-48.81104;Reduced-impact logging;2013;Characiformes;Iguanodectidae;Iguanodectes;Iguanodectes rachovii;1;12
UPA6UT16;Paragominas;PA;-3.53072;-48.78286;Reduced-impact logging;2013;Characiformes;Iguanodectidae;Iguanodectes;Iguanodectes rachovii;1;35
UPA6UT80;Paragominas;PA;-3.65393;-48.61003;Reduced-impact logging;2013;Characiformes;Iguanodectidae;Iguanodectes;Iguanodectes rachovii;1;37
UPA6UT81;Paragominas;PA;-3.66524;-48.59988;Reduced-impact logging;2013;Characiformes;Iguanodectidae;Iguanodectes;Iguanodectes rachovii;1;2
UPA7UT55;Paragominas;PA;-3.66351;-48.56396;Reduced-impact logging;2013;Characiformes;Iguanodectidae;Iguanodectes;Iguanodectes rachovii;1;40
UPA9UT5;Paragominas;PA;-3.74078;-48.60257;Reduced-impact logging;2013;Characiformes;Iguanodectidae;Iguanodectes;Iguanodectes rachovii;1;50
UPA11UT37;Paragominas;PA;-3.59552;-48.54519;Reduced-impact logging;2013;Siluriformes;Trichomycteridae;Ituglanis;Ituglanis amazonicus;1;1
UPA12UT29;Paragominas;PA;-3.70351;-48.67416;Reduced-impact logging;2013;Siluriformes;Trichomycteridae;Ituglanis;Ituglanis amazonicus;1;12
UPA13UT27-1;Paragominas;PA;-3.71856;-48.70264;Reduced-impact logging;2013;Siluriformes;Trichomycteridae;Ituglanis;Ituglanis amazonicus;1;2
UPA13UT27-2;Paragominas;PA;-3.72305;-48.69458;Reduced-impact logging;2013;Siluriformes;Trichomycteridae;Ituglanis;Ituglanis amazonicus;1;6
UPA13UT31;Paragominas;PA;-3.70842;-48.71799;Reduced-impact logging;2013;Siluriformes;Trichomycteridae;Ituglanis;Ituglanis amazonicus;1;4
UPA6UT13;Paragominas;PA;-3.53329;-48.81104;Reduced-impact logging;2013;Siluriformes;Trichomycteridae;Ituglanis;Ituglanis amazonicus;1;1
UPA16REF3;Paragominas;PA;-3.55106;-48.7534;Reduced-impact logging;2013;Characiformes;Characidae;Knodus;Knodus cf. victoriae;1;1
UPA13UT31;Paragominas;PA;-3.70842;-48.71799;Reduced-impact logging;2013;Characiformes;Characidae;Knodus;Knodus cf. victoriae;1;7
UPA12UT29;Paragominas;PA;-3.70351;-48.67416;Reduced-impact logging;2013;Siluriformes;Heptapteridae;Mastiglanis;Mastiglanis asopos;1;6
